ID,X,Y,Z,HDirection,HWidth,VTilt
224 , 199.999998 , 1039.230481 , 25.000000 , 180.000000 , 65.000000 , 0.000000
225 , -0.000002 , 1039.230481 , 25.000000 , 180.000000 , 65.000000 , 0.000000
226 , -200.000002 , 1039.230482 , 25.000000 , 180.000000 , 65.000000 , 0.000000
227 , -700.000001 , 866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
228 , -800.000000 , 692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
229 , -900.000000 , 519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
230 , -1000.000000 , 346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
231 , -1099.999998 , -173.205078 , 25.000000 , 180.000000 , 65.000000 , 0.000000
232 , -999.999998 , -346.410158 , 25.000000 , 180.000000 , 65.000000 , 0.000000
233 , -899.999998 , -519.615239 , 25.000000 , 180.000000 , 65.000000 , 0.000000
234 , -799.999998 , -692.820319 , 25.000000 , 180.000000 , 65.000000 , 0.000000
235 , -399.999998 , -1039.230480 , 25.000000 , 180.000000 , 65.000000 , 0.000000
236 , -199.999998 , -1039.230481 , 25.000000 , 180.000000 , 65.000000 , 0.000000
237 , 0.000002 , -1039.230481 , 25.000000 , 180.000000 , 65.000000 , 0.000000
238 , 200.000002 , -1039.230482 , 25.000000 , 180.000000 , 65.000000 , 0.000000
239 , 700.000001 , -866.025402 , 25.000000 , 180.000000 , 65.000000 , 0.000000
240 , 800.000000 , -692.820322 , 25.000000 , 180.000000 , 65.000000 , 0.000000
241 , 900.000000 , -519.615242 , 25.000000 , 180.000000 , 65.000000 , 0.000000
242 , 1000.000000 , -346.410162 , 25.000000 , 180.000000 , 65.000000 , 0.000000
243 , 1199.999998 , 346.410158 , 25.000000 , 180.000000 , 65.000000 , 0.000000
244 , 1099.999998 , 519.615238 , 25.000000 , 180.000000 , 65.000000 , 0.000000
245 , 999.999998 , 692.820319 , 25.000000 , 180.000000 , 65.000000 , 0.000000
246 , 99.999998 , 1212.435561 , 25.000000 , 180.000000 , 65.000000 , 0.000000
247 , -100.000002 , 1212.435562 , 25.000000 , 180.000000 , 65.000000 , 0.000000
