ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
600,492.010997,-37.471969,10.500000,1,0,100.401305,7
601,438.064550,-33.069335,1.500000,0,1,55.630395,7
602,466.315751,-49.191276,7.500000,1,0,84.402669,7
603,338.378244,-14.231499,22.500000,1,0,63.293178,7
604,455.477793,6.471472,16.500000,1,0,56.497040,7
605,495.359280,0.723144,4.500000,1,0,97.540582,7
606,437.481546,-25.942149,1.500000,0,1,51.284611,7
607,315.011975,63.472547,4.500000,1,0,108.036932,7
608,353.031199,48.751323,10.500000,1,0,69.231566,7
609,379.564181,-67.803850,4.500000,1,0,73.724044,7
610,491.787023,-20.510022,1.500000,1,0,96.942089,7
611,406.539837,-39.674965,4.500000,1,0,45.134491,7
612,404.313794,-77.349837,10.500000,1,0,78.815329,7
613,423.790115,79.039700,1.500000,0,1,85.822456,7
614,358.030012,-67.607268,10.500000,1,0,80.885551,7
615,347.450097,-75.509620,7.500000,1,0,93.645314,7
616,334.625108,-38.342064,22.500000,1,0,75.830339,7
617,337.951230,65.876414,7.500000,1,0,92.173759,7
618,425.082444,-67.683199,16.500000,1,0,72.680083,7
619,446.801054,-86.319566,1.500000,0,1,100.963637,7
620,304.604052,52.854928,4.500000,1,0,110.969727,7
621,428.009500,-10.583265,7.500000,1,0,34.681228,7
622,372.328395,-92.979462,7.500000,1,0,98.575595,7
623,411.153409,-46.049551,13.500000,1,0,48.756637,7
624,246.321402,251.351790,1.500000,0,1,97.675740,8
625,284.511569,99.373017,1.500000,1,0,79.014650,8
626,331.326318,260.986935,1.500000,0,1,96.120978,8
627,231.817592,175.240222,1.500000,0,1,72.147297,8
628,347.871372,198.110679,7.500000,1,0,56.729245,8
629,231.562929,154.161079,1.500000,0,1,74.823503,8
630,215.077577,176.468109,13.500000,1,0,85.759636,8
631,319.136202,147.118678,7.500000,1,0,36.782395,8
632,224.927782,103.515538,10.500000,1,0,103.453951,8
633,277.483442,162.135143,1.500000,0,1,34.377156,8
634,206.267110,147.892359,7.500000,1,0,98.655148,8
635,287.812082,84.913303,1.500000,1,0,92.175014,8
636,364.081402,122.012218,22.500000,1,0,82.057207,8
637,379.584797,186.553189,1.500000,1,0,84.048570,8
638,264.215702,211.532012,7.500000,1,0,55.278564,8
639,222.168215,116.316650,1.500000,1,0,99.228676,8
640,380.930747,147.956379,13.500000,1,0,85.554268,8
641,238.084230,171.250458,1.500000,0,1,66.254305,8
642,304.928066,108.129036,1.500000,0,1,69.364452,8
643,223.221546,135.258357,1.500000,0,1,88.809542,8
644,308.651524,92.387814,1.500000,1,0,84.608093,8
645,348.918329,163.870527,4.500000,1,0,53.855240,8
646,347.090571,233.751762,1.500000,1,0,80.222644,8
647,221.488413,161.870887,1.500000,0,1,82.733204,8
648,300.666894,271.382228,19.500000,1,0,98.333347,8
649,289.358491,187.209868,1.500000,1,0,29.353463,8
650,356.304298,219.188747,1.500000,1,0,76.399750,8
651,267.437833,118.605865,1.500000,1,0,67.776241,8
652,255.750308,205.865573,4.500000,1,0,58.694063,8
653,274.418382,198.898487,4.500000,1,0,41.651174,8
654,208.801776,300.938730,16.500000,1,0,47.088982,9
655,196.627830,425.745538,1.500000,1,0,82.811374,9
656,285.831128,411.099909,10.500000,1,0,108.452738,9
657,185.252717,373.049929,7.500000,1,0,35.119932,9
